日期,收盘,
2012-09-14,1736.50 ,
2012-09-17,1669.00 ,
2012-09-18,1645.25 ,
2012-09-19,1669.50 ,
2012-09-20,1622.75 ,
2012-09-21,1611.25 ,
2012-09-24,1610.00 ,
2012-09-25,1606.00 ,
2012-09-26,1573.60 ,
2012-09-27,1576.60 ,
2012-09-28,1601.00 ,
2012-10-01,1566.40 ,
2012-10-02,1530.50 ,
2012-10-03,1534.75 ,
2012-10-04,1551.50 ,
2012-10-05,1552.40 ,
2012-10-08,1551.00 ,
2012-10-09,1550.00 ,
2012-10-10,1523.25 ,
2012-10-11,1548.50 ,
2012-10-12,1548.40 ,
2012-10-15,1491.40 ,
2012-10-16,1498.00 ,
2012-10-17,1502.60 ,
2012-10-18,1544.25 ,
2012-10-19,1534.25 ,
2012-10-22,1546.50 ,
2012-10-23,1553.25 ,
2012-10-24,1570.50 ,
2012-10-25,1561.40 ,
2012-10-26,1560.60 ,
2012-10-29,1527.25 ,
2012-10-30,1533.75 ,
2012-10-31,1548.20 ,
2012-11-01,1559.60 ,
2012-11-02,1526.20 ,
2012-11-05,1507.20 ,
2012-11-06,1523.60 ,
2012-11-07,1508.75 ,
2012-11-08,1499.25 ,
2012-11-09,1452.00 ,
2012-11-12,1411.00 ,
2012-11-13,1427.00 ,
2012-11-14,1432.75 ,
2012-11-15,1407.20 ,
2012-11-16,1385.20 ,
2012-11-19,1394.75 ,
2012-11-20,1412.75 ,
2012-11-21,1408.25 ,
2012-11-23,1418.75 ,
2012-11-26,1424.75 ,
2012-11-27,1448.20 ,
2012-11-28,1448.60 ,
2012-11-29,1444.20 ,
2012-11-30,1435.40 ,
2012-12-03,1449.40 ,
2012-12-04,1446.40 ,
2012-12-05,1478.60 ,
2012-12-06,1484.60 ,
2012-12-07,1472.25 ,
2012-12-10,1474.75 ,
2012-12-11,1472.00 ,
2012-12-12,1473.50 ,
2012-12-13,1476.50 ,
2012-12-14,1476.40 ,
2012-12-17,1499.60 ,
2012-12-18,1466.00 ,
2012-12-19,1437.00 ,
2012-12-20,1407.40 ,
2012-12-21,1435.00 ,
2012-12-24,1439.75 ,
2012-12-26,1423.40 ,
2012-12-27,1417.40 ,
2012-12-28,1424.00 ,
2012-12-31,1418.75 ,
2013-01-02,1405.50 ,
2013-01-03,1390.00 ,
2013-01-04,1393.00 ,
2013-01-07,1410.75 ,
2013-01-08,1413.75 ,
2013-01-09,1420.00 ,
2013-01-10,1415.00 ,
2013-01-11,1424.75 ,
2013-01-14,1459.75 ,
2013-01-15,1414.60 ,
2013-01-16,1438.50 ,
2013-01-17,1431.00 ,
2013-01-18,1427.00 ,
2013-01-22,1449.50 ,
2013-01-23,1437.00 ,
2013-01-24,1435.50 ,
2013-01-25,1443.50 ,
2013-01-28,1447.00 ,
2013-01-29,1451.00 ,
2013-01-30,1479.00 ,
2013-01-31,1469.50 ,
2013-02-01,1474.00 ,
2013-02-04,1487.50 ,
2013-02-05,1496.00 ,
2013-02-06,1490.50 ,
2013-02-07,1487.00 ,
2013-02-08,1452.00 ,
2013-02-11,1431.50 ,
2013-02-12,1421.00 ,
2013-02-13,1422.00 ,
2013-02-14,1418.00 ,
2013-02-15,1426.50 ,
2013-02-19,1470.00 ,
2013-02-20,1479.00 ,
2013-02-21,1488.50 ,
2013-02-22,1461.50 ,
2013-02-25,1451.50 ,
2013-02-26,1448.50 ,
2013-02-27,1459.50 ,
2013-02-28,1475.50 ,
2013-03-01,1465.00 ,
2013-03-04,1489.50 ,
2013-03-05,1495.00 ,
2013-03-06,1485.00 ,
2013-03-07,1501.50 ,
2013-03-08,1509.00 ,
2013-03-11,1513.00 ,
2013-03-12,1488.75 ,
2013-03-13,1474.60 ,
2013-03-14,1463.75 ,
2013-03-15,1425.00 ,
2013-03-18,1410.50 ,
2013-03-19,1405.50 ,
2013-03-20,1421.00 ,
2013-03-21,1447.00 ,
2013-03-22,1439.50 ,
2013-03-25,1437.00 ,
2013-03-26,1447.00 ,
2013-03-27,1453.00 ,
2013-03-28,1400.00 ,
2013-04-01,1392.00 ,
2013-04-02,1393.50 ,
2013-04-03,1383.00 ,
2013-04-04,1372.00 ,
2013-04-05,1362.00 ,
2013-04-08,1376.50 ,
2013-04-09,1393.00 ,
2013-04-10,1392.50 ,
2013-04-11,1403.00 ,
2013-04-12,1411.00 ,
2013-04-15,1396.50 ,
2013-04-16,1409.50 ,
2013-04-17,1420.00 ,
2013-04-18,1430.00 ,
2013-04-19,1426.50 ,
2013-04-22,1418.00 ,
2013-04-23,1418.00 ,
